ZONA;Coletivo;Individual;Motorizado;Não Motorizado;Total
312;35562,3;31296,63;66858,93;26473,13;93332,05
313;16800,12;11169,45;27969,57;17574,86;45544,43
314;88013,98;28814,1;116828,08;69462,37;186290,45
315;69221,17;26185,28;95406,45;79420,29;174826,74
316;16626,54;25782,75;42409,29;5319,34;47728,63
317;6440,48;10128,82;16569,31;802,59;17371,9
318;19313,66;17580,16;36893,82;11252,12;48145,94
319;17988,25;16565,6;34553,85;5506,93;40060,78
320;35859,8;15833,34;51693,14;48254,82;99947,95
321;27421,93;46838,5;74260,42;25567,63;99828,05
322;26841,8;36974,28;63816,08;18463,07;82279,15
323;42364,81;24069,2;66434,02;29693,77;96127,78
324;51749,3;17542,95;69292,25;28706,07;97998,32
325;24364,23;32614,84;56979,07;31588,26;88567,33
326;29561,14;21236,69;50797,83;13277,86;64075,69
327;8057,88;15633,51;23691,39;8068,41;31759,81
328;17275,21;27156,72;44431,93;8737,47;53169,39
329;25468,99;46706,14;72175,13;17922,95;90098,08
330;20474,32;30413,32;50887,63;12945,39;63833,02
331;27672,31;24434,77;52107,08;18017,79;70124,88
332;22896,28;22511,5;45407,78;36397,72;81805,5
333;15351,78;10482,9;25834,68;8660,62;34495,3
334;21789,08;28763,6;50552,67;17824,48;68377,16
335;21285,29;23509,02;44794,32;24172,53;68966,84
336;30231,55;15408,95;45640,5;14883,83;60524,32
337;21551,26;21356,86;42908,12;9946,35;52854,47
338;25178,37;21377,23;46555,6;24559,62;71115,22
339;45983,61;34414,68;80398,29;9246,59;89644,87
340;16835,74;18641,19;35476,93;4033,47;39510,39
341;9236,84;12903,15;22139,99;7522,46;29662,45
342;20622,06;32302,55;52924,61;16785,24;69709,86
343;1163,37;1953,72;3117,09;661,47;3778,56
344;37462,65;39526,35;76988,99;32461,36;109450,35
345;12243,4;8560,16;20803,56;17870,16;38673,72
346;0;124,91;124,91;0;124,91
347;39081,47;27986,44;67067,91;51081,19;118149,1
348;3629,83;2575,58;6205,41;2854,12;9059,54
349;0;292,31;292,31;0;292,31
350;25854,85;12666,53;38521,38;25443,22;63964,6
