ZONA;Metrô;Trem;Ônibus;Fretado;Escolar;Automóvel;Táxi;Moto;Bicicleta;A pé;Outros
 326 ;6494,20;736,68;18645,23;418,76;2870,19;22203,95;36,66;1750,83;416,05;11959,21;421,82
 327 ;735,93;48,11;5603,92;0,00;1674,50;14398,23;359,83;849,37;0,00;7946,27;0,00
 328 ;2793,61;657,34;9051,46;1007,10;3711,61;23730,26;855,35;1141,25;0,00;8481,50;197,46
 329 ;4455,62;2428,77;15541,94;0,00;3011,29;41098,01;1543,08;4041,26;990,70;16794,97;0,00
 330 ;3730,49;522,86;11096,95;0,00;4311,00;28082,47;629,39;1123,19;0,00;13938,06;0,00
 331 ;3346,90;0,00;15530,47;96,36;8925,98;21268,95;317,04;2698,23;617,29;17400,50;0,00
 332 ;2614,16;291,21;15601,40;0,00;5416,19;17365,64;0,00;3976,88;617,29;35780,43;0,00
 333 ;2176,41;2229,15;8661,46;543,56;1443,77;8761,25;291,42;1721,64;0,00;8660,62;0,00
 334 ;1485,41;86,31;11574,20;0,00;7908,08;26316,49;652,82;2254,42;23,89;17887,76;0,00
 335 ;2130,21;568,49;13678,58;0,00;4713,28;21557,98;418,07;1338,28;507,24;23859,94;0,00
 336 ;1915,46;0,00;19540,62;0,00;9109,83;13791,69;0,00;1057,62;190,75;14203,86;951,31
 337 ;1571,72;3865,72;10593,41;0,00;5681,56;19812,10;263,02;714,00;190,75;9219,07;400,60
 338 ;5466,08;2962,80;16421,27;0,00;1334,33;17578,38;240,28;2493,90;3102,69;21664,31;178,68
 339 ;17113,38;4255,46;22481,16;2023,44;521,31;31379,58;1705,58;1434,50;2168,87;6620,29;0,00
 340 ;7079,90;143,47;8946,42;293,84;426,03;16627,04;1022,92;612,93;656,25;3360,36;336,77
 341 ;2176,25;342,30;3784,39;0,00;1936,77;11062,08;557,75;2819,37;251,11;7085,66;0,00
 342 ;7075,29;1342,49;9046,28;0,00;2648,08;30932,22;947,57;757,53;683,70;16227,06;0,00
 343 ;33,97;127,07;314,69;0,00;703,44;1712,05;0,00;177,51;0,00;661,47;69,23
 344 ;6836,27;6172,59;16526,95;1487,31;6193,02;37736,45;520,38;1200,28;0,00;32461,36;69,23
 345 ;608,30;1188,03;4359,36;0,00;6087,70;7610,47;0,00;949,70;1064,81;16805,35;0,00
 346 ;0,00;0,00;0,00;0,00;0,00;124,91;0,00;0,00;0,00;0,00;0,00
 347 ;250,15;2080,32;21247,49;982,22;15524,52;24664,62;36,66;2320,37;2811,22;48269,97;45,01
 348 ;0,00;0,00;2162,40;350,43;1117,00;2462,02;0,00;158,57;47,54;2806,58;45,01
 349 ;0,00;0,00;0,00;0,00;0,00;292,31;0,00;0,00;0,00;0,00;0,00
 350 ;108,10;5193,08;5662,41;603,75;15283,86;11195,34;149,69;1471,18;0,00;25293,54;0,00
 351 ;3868,03;13523,96;18330,84;0,00;10443,02;24686,57;674,25;1364,84;0,00;44225,50;0,00
 352 ;0,00;0,00;1882,38;0,00;0,00;4525,53;0,00;0,00;0,00;425,02;0,00
 353 ;0,00;0,00;378,80;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 354 ;0,00;0,00;0,00;0,00;0,00;492,60;0,00;0,00;0,00;0,00;0,00
 355 ;3089,78;7892,74;10541,46;273,67;3776,01;19017,46;170,76;708,81;1028,12;41304,75;0,00
 356 ;7209,78;13904,56;16274,00;293,80;7005,32;12378,70;293,80;2737,24;0,00;71536,04;0,00
 357 ;184,82;603,90;408,08;67,57;156,76;551,20;0,00;76,39;0,00;2745,52;0,00
 358 ;1847,26;254,72;5767,52;223,19;5090,97;20673,86;199,20;446,39;1660,63;18817,57;303,57
 359 ;241,17;0,00;1494,50;0,00;3810,33;6747,52;0,00;3169,05;0,00;7714,60;1379,05
 360 ;1731,29;17,17;3797,65;0,00;3315,20;5976,07;0,00;446,39;2342,46;9578,95;0,00
 361 ;445,27;0,00;2250,92;0,00;3278,59;3979,19;0,00;0,00;127,23;6260,23;0,00
 362 ;1327,05;525,67;49700,31;389,40;3958,22;40438,39;2056,04;5022,29;0,00;18186,07;0,00
 363 ;2156,69;0,00;28568,75;562,58;5662,98;52663,00;1890,97;1197,12;1145,94;33615,47;0,00
 364 ;1016,79;1850,49;11310,89;735,84;1950,24;12710,94;0,00;1702,68;289,75;10956,80;0,00
 365 ;367,46;0,00;11767,26;747,67;138,10;8097,32;327,63;236,49;62,59;4043,50;0,00
 366 ;4457,71;334,49;24474,90;1475,91;2256,14;38781,56;508,96;4407,72;390,49;20497,75;323,83
 367 ;893,15;0,00;10073,95;89,09;2403,78;18828,58;112,76;1174,78;900,95;15833,15;0,00
 368 ;520,25;0,00;19776,14;0,00;1149,09;31469,81;400,94;1068,77;0,00;38488,58;0,00
 369 ;4966,23;0,00;20296,35;717,24;7488,19;44108,76;358,62;1535,37;0,00;34905,56;476,66
 370 ;1114,70;0,00;35846,26;0,00;15403,67;54484,95;562,27;13203,01;62,59;38439,56;1633,10
 371 ;2739,57;0,00;17728,58;0,00;6129,25;41464,75;2358,64;921,88;931,79;33421,01;0,00
 372 ;3843,61;6195,53;19797,74;716,38;8262,42;31263,69;999,97;0,00;0,00;31290,37;0,00
 373 ;4169,72;750,13;26497,93;0,00;6932,13;53113,03;1379,94;6736,20;900,95;43084,52;1277,16
 374 ;1319,58;6782,48;11038,87;1163,77;0,00;14871,86;3015,13;2296,51;0,00;427,54;0,00
 375 ;3723,04;0,00;26450,77;429,36;10165,69;32500,85;0,00;2251,46;7619,69;44838,06;0,00
 376 ;1431,36;400,01;11219,98;944,29;7335,41;23430,12;0,00;0,00;3351,81;42404,83;1932,03
 377 ;9164,18;3116,41;52890,58;2957,80;20800,71;93289,16;844,52;4186,95;4754,83;170434,48;2301,06
 378 ;7720,36;0,00;23736,20;1711,19;14076,47;32648,52;997,80;1222,43;1750,04;48879,55;674,10
 379 ;1250,49;0,00;15700,96;0,00;5018,86;25893,13;1198,84;803,25;952,21;39755,01;568,75
 380 ;1762,33;773,66;43189,03;266,19;8978,59;13779,80;748,82;2093,94;2428,86;61511,88;1657,44
 381 ;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 382 ;842,48;701,18;45473,33;1484,25;11577,73;38410,72;5595,26;2712,73;4385,54;66525,22;333,03
 383 ;0,00;0,00;23304,03;1755,37;11498,78;15841,44;0,00;1272,12;0,00;56246,85;0,00
 384 ;1681,32;0,00;7707,77;1706,32;3832,85;9265,96;246,30;0,00;0,00;24536,85;932,78
 385 ;0,00;0,00;0,00;0,00;0,00;512,23;0,00;0,00;0,00;331,61;0,00
 386 ;0,00;0,00;2308,36;0,00;394,95;2499,59;0,00;339,12;241,52;4245,93;0,00
 387 ;3872,51;0,00;25274,34;1392,12;10361,18;31712,33;0,00;2246,09;728,37;55486,90;456,43
 388 ;0,00;0,00;1458,19;150,18;1221,51;3288,14;0,00;155,06;176,25;3399,69;123,39
 389 ;280,39;0,00;10789,00;2424,75;2330,63;14845,89;3872,64;4337,50;1419,72;35297,04;752,37
 390 ;0,00;0,00;2932,13;859,23;1148,85;5872,90;0,00;1060,46;2616,64;1840,53;52,92
 391 ;11821,57;9517,12;11882,81;492,44;9212,85;25015,98;3559,26;0,00;0,00;36880,56;753,65
 392 ;0,00;977,57;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
 393 ;13887,88;8615,59;13335,36;384,28;4061,41;36130,51;1872,41;2359,99;381,89;63975,74;0,00
 394 ;1334,23;3228,11;2352,06;0,00;2442,99;6511,07;0,00;957,36;443,48;16993,70;0,00
 395 ;4742,25;13856,19;20101,19;0,00;8926,21;31177,98;404,77;2254,27;5966,74;59657,18;643,32
 396 ;7497,63;14716,97;19293,97;301,27;2815,70;53889,81;1589,24;3879,98;1901,27;85546,79;0,00
 397 ;2253,29;5702,90;24669,75;0,00;10340,71;21675,79;246,22;1171,27;2820,15;48492,10;0,00
 398 ;3420,57;1490,26;15862,10;2271,12;5667,10;37321,62;1536,15;9210,41;1464,19;72551,79;482,45
 399 ;5117,64;5234,39;9011,55;992,90;9672,12;10589,96;0,00;1193,27;756,01;35730,09;86,88
 400 ;5534,99;10599,51;18688,44;5277,93;9532,84;27217,55;1038,52;2954,81;3771,61;78126,54;1662,54
