ZONA;Ônibus;Trólebus;Fretado;Escolar;Automóvel;Táxi;Lotação;Metrô;Trem;Moto;Bicicleta;A pé;Caminhão;Outros;Total
42;22341.00; -   ;995.00;657.00;21022.00;273.00; -   ;1253.00;12844.00;508.00;320.00;8352.00;67.00;59.00;68691.00
43;38516.00;115.00;2609.00;5691.00;42139.00;715.00;310.00;3957.00;2883.00;1094.00;711.00;56869.00;1597.00; -   ;157206.00
44;34285.00;788.00;1962.00;1606.00;54946.00;267.00; -   ;1895.00;3256.00;2497.00;593.00;35507.00;378.00;232.00;138212.00
45;65566.00;801.00;1822.00;5669.00;103843.00;2510.00;335.00;22431.00;1391.00;2794.00;1172.00;140482.00;460.00;750.00;350026.00
46;35542.00;1703.00;591.00;3087.00;78697.00;2232.00; -   ;25180.00;296.00;1896.00;115.00;49410.00;533.00;177.00;199461.00
47;45671.00;171.00;1134.00;3966.00;81076.00;1499.00;135.00;21188.00;333.00;578.00;2150.00;110949.00;2055.00;390.00;271296.00
48;54373.00;78.00;10117.00;2952.00;65162.00;1966.00;269.00;13192.00;621.00;4537.00;1340.00;143926.00;1921.00;1900.00;302353.00
49;22526.00; -   ;1391.00;679.00;37192.00;660.00; -   ;2697.00;641.00;284.00; -   ;51997.00;109.00;354.00;118532.00
50;18199.00; -   ;1347.00;74.00;16981.00; -   ; -   ;1372.00;1731.00;497.00;2631.00;32502.00;361.00; -   ;75693.00
51;44717.00;3825.00;305.00;1514.00;54047.00;912.00;132.00;15703.00;9099.00;459.00; -   ;34246.00;828.00;110.00;165897.00
52;28485.00;1021.00;1238.00;1622.00;63892.00;1015.00; -   ;23178.00;4467.00;2347.00;254.00;61155.00;204.00;501.00;189380.00
53;13894.00;1546.00;336.00;808.00;30890.00; -   ; -   ;4486.00;675.00;260.00; -   ;28305.00;275.00; -   ;81474.00
54;33357.00;1510.00;4188.00;1295.00;56125.00;235.00; -   ;3293.00;5961.00;760.00;1892.00;84471.00;550.00;342.00;193979.00
55;90946.00;238.00;6584.00;4034.00;86466.00;651.00; -   ;13510.00;1241.00;1561.00;1229.00;154135.00;1361.00;1386.00;363340.00
56;41258.00;475.00;941.00;2887.00;56460.00;1210.00;490.00;31744.00;134.00;494.00;62.00;60306.00;918.00;802.00;198181.00
57;81064.00; -   ;3880.00;2426.00;35421.00;280.00;556.00;17838.00; -   ;1539.00; -   ;128274.00;988.00; -   ;272266.00
58;42172.00;465.00;1224.00;3043.00;90609.00;1428.00; -   ;27138.00;138.00;800.00;586.00;95254.00;1372.00;306.00;264535.00
59;72814.00;733.00;1687.00;4675.00;156063.00;2203.00;387.00;4404.00;611.00;3108.00;289.00;36479.00;1132.00; -   ;284583.00
60;17457.00; -   ;1357.00;1613.00;32755.00;502.00; -   ;2908.00;317.00;1810.00;187.00;18049.00;184.00; -   ;77139.00
61;16728.00;115.00;1267.00;282.00;28437.00;730.00; -   ;2681.00;1043.00;237.00;50.00;10340.00; -   ; -   ;61910.00
62;22723.00;825.00;269.00;155.00;48859.00;1350.00; -   ;2065.00;379.00;236.00;39.00;10189.00;257.00;51.00;87396.00
63;62491.00;141.00;991.00;154.00;85851.00;1198.00; -   ;2567.00;2962.00;2368.00;674.00;33060.00;377.00;805.00;193640.00
64;14879.00; -   ;688.00;178.00;41343.00;236.00; -   ;1855.00;1413.00;382.00;304.00;7036.00;89.00; -   ;68402.00
65;17663.00; -   ;532.00;2661.00;33701.00; -   ;82.00;588.00;3554.00;80.00; -   ;7126.00;230.00; -   ;66218.00
66;8394.00; -   ;100.00;42.00;7821.00;72.00; -   ;505.00;6239.00;55.00; -   ;4751.00;130.00; -   ;28108.00
67;20360.00;109.00;2785.00; -   ;27971.00;363.00; -   ;961.00;16706.00;575.00;107.00;14466.00;3233.00;934.00;88570.00
68;55841.00;151.00;6292.00;2625.00;62885.00; -   ;92.00;2177.00;8405.00;889.00;795.00;80946.00;781.00;452.00;222329.00
69;33826.00; -   ;1613.00;3535.00;28711.00;218.00; -   ;2241.00;9900.00;1954.00;485.00;51110.00;705.00;387.00;134686.00
70;27615.00; -   ;3566.00;2699.00;10664.00;99.00; -   ;769.00;5915.00;328.00;331.00;48838.00;757.00; -   ;101580.00
71;65225.00; -   ;1885.00;3832.00;42179.00;1017.00; -   ;5914.00;2305.00;1154.00;439.00;85087.00;1580.00;492.00;211108.00
72;25966.00; -   ;824.00;3460.00;24845.00;1337.00;291.00;4205.00;401.00; -   ;154.00;43562.00;451.00; -   ;105496.00
73;12262.00; -   ;436.00;348.00;5718.00; -   ; -   ;1255.00;113.00; -   ;227.00;29309.00;2644.00; -   ;52313.00
74;26554.00;114.00;921.00;1440.00;9554.00; -   ; -   ;2659.00;215.00;647.00;273.00;34367.00;460.00; -   ;77204.00
75;24840.00; -   ;921.00;2208.00;46889.00;723.00; -   ;11079.00;118.00;655.00;573.00;42044.00;564.00; -   ;130614.00
76;22641.00;95.00;1062.00;2464.00;33290.00;370.00; -   ;9367.00;179.00;1216.00;823.00;47430.00;185.00;155.00;119277.00
77;26918.00;124.00;741.00;767.00;31576.00;761.00; -   ;5198.00;2160.00;547.00;27.00;40865.00;2734.00;648.00;113065.00
78;41348.00;555.00;184.00;1878.00;34617.00;234.00; -   ;7198.00;1014.00;611.00;27.00;37906.00;420.00; -   ;125992.00
79;24536.00;261.00;1354.00;2496.00;40733.00;93.00; -   ;7870.00;729.00;616.00; -   ;43401.00;845.00;216.00;123149.00
80;31551.00;7056.00;2121.00;4640.00;49441.00;206.00; -   ;8976.00;1699.00;1284.00;588.00;66208.00;440.00; -   ;174210.00
81;25938.00; -   ;2159.00;3673.00;40997.00;168.00; -   ;13138.00;1846.00;1034.00; -   ;65741.00;515.00; -   ;155208.00
82;34973.00;8193.00;925.00;7451.00;51370.00;1620.00; -   ;9663.00;1382.00;1130.00; -   ;91817.00;1103.00; -   ;209625.00
83;88599.00;3544.00;5628.00;10091.00;106282.00;296.00;456.00;3305.00;3091.00;1387.00;573.00;151424.00;1408.00;278.00;376361.00
84;36330.00; -   ;2560.00;1246.00;20496.00;193.00;538.00;7197.00;6522.00;719.00;1039.00;88835.00;1025.00; -   ;166699.00
85;56519.00;176.00;4665.00;2014.00;64820.00;1302.00; -   ;15978.00;6379.00;1708.00;571.00;129037.00;537.00;560.00;284265.00
86;28905.00;142.00;555.00;2395.00;23854.00;689.00; -   ;16892.00;6606.00;262.00;343.00;93697.00;114.00; -   ;174454.00
87;17281.00;499.00;181.00;245.00;13769.00;98.00; -   ;5287.00;288.00; -   ; -   ;40882.00;680.00; -   ;79211.00
88;27941.00;2758.00;1942.00;2551.00;22158.00;241.00; -   ;6213.00;646.00;231.00;456.00;68259.00;417.00;649.00;134462.00
89;60940.00;1077.00;5848.00;2692.00;28542.00; -   ; -   ;5338.00;1245.00;1241.00; -   ;157752.00;131.00;128.00;264935.00
