Zona ;Nome;Domicílios;Famílias;População;Matrículas Escolares;Empregos;Automóveis;Produzidas;Atraídas
94;Santana;17566,88;17730,36;65362,80;17086,78;10646,07;10501,26;97459,47;98753,30
95;Santana;6624,97;6598,49;26739,06;7604,29;4724,00;4138,00;43017,14;43270,43
96;Tucuruvi;19252,13;18703,35;81600,27;27246,72;15179,04;16422,28;137196,32;135556,99
97;Tucuruvi;26798,70;26968,40;112803,62;29228,05;13443,10;17120,67;166010,75;166872,10
98;Tucuruvi;25884,94;33569,97;143175,61;34149,90;10922,74;12130,40;189011,33;190437,71
99;Tucuruvi;13211,84;13209,68;63244,78;14675,09;13390,09;4639,28;108220,01;109549,33
100;Guarulhos;7584,88;7629,54;29416,22;10354,26;26447,90;5279,11;86471,06;86140,74
101;Cangaíba;4964,00;6531,50;27141,50;3261,87;3248,73;2816,50;37068,55;36672,75
102;Penha;10550,81;10251,37;40442,91;13650,55;18777,26;6802,05;111978,32;113034,58
103;Tatuapé;11154,42;9990,53;36516,46;8886,12;16109,23;6277,49;72311,10;71253,76
104;Vila Formosa;11968,46;11827,13;50345,51;8062,97;9700,20;7355,04;73245,74;75556,39
105;Tatuapé;13243,44;12911,29;60575,78;15109,96;7141,71;5041,58;78072,64;79598,86
106;Santo André;9984,06;9854,23;47538,24;13248,17;5268,29;4001,29;73232,32;74018,96
107;Santo André;6095,43;5315,03;24177,17;2531,89;10031,92;5602,33;56692,52;56845,89
108;São Caetano do Sul;16959,16;15659,26;62997,98;8672,33;8294,57;18479,04;98357,83;96693,30
109;São Caetano do Sul;7484,07;7097,06;26495,88;7530,84;5463,95;5512,36;66244,31;67936,70
110;São Caetano do Sul;14000,01;13318,73;50431,01;15915,31;15436,09;9426,05;132568,72;132105,36
111;Ipiranga;8624,23;8748,16;35380,84;5873,84;10821,23;4351,67;66617,94;64931,76
112;Saúde;21574,72;21991,29;105884,77;15320,21;18486,26;9627,44;153344,89;157141,69
113;Jabaquara;17923,27;17461,57;76531,06;12671,92;13807,56;7434,61;110874,27;108416,06
114;Jabaquara;21230,87;20560,99;78212,09;15005,47;18028,72;15026,32;159167,36;159356,71
115;Ibirapuera;6900,34;6894,71;28760,16;3662,08;18756,84;7999,81;79062,95;78286,78
116;Ibirapuera;11110,81;12341,06;41738,65;8418,95;22518,87;11821,13;135156,64;138548,14
117;Ibirapuera;19517,02;21561,99;68334,32;9876,76;31616,25;21117,02;158734,97;159610,13
118;Ibirapuera;1712,31;1472,39;7228,86;5580,43;5148,90;2429,47;28782,19;29549,09
119;Butantã;9931,14;9376,54;43216,43;7013,38;20822,96;13778,08;89406,52;92941,66
120;Butantã;4694,33;4259,60;17384,28;27253,98;22094,28;4497,97;93418,96;95400,66
121;Pinheiros;1900,59;1812,25;10472,12;2667,35;4570,51;3207,42;32254,19;31567,99
122;Vila Madalena;4784,78;4428,27;20689,19;2559,52;2573,37;5797,19;30145,86;30683,28
123;Lapa;9514,67;9111,82;34405,71;5793,63;6623,98;8678,59;64569,78;63411,89
124;Lapa;3029,74;2954,59;13361,72;6014,47;5357,62;3977,93;36388,40;35554,85
125;Lapa;4283,27;4076,13;18503,23;833,96;3693,04;4527,54;26454,96;27000,96
126;Lapa;10674,41;10674,41;50619,82;6355,49;34242,45;14725,18;165530,14;164524,25
127;Lapa;2281,09;2065,10;8388,36;2383,80;15126,72;1249,82;37059,77;38579,73
128;Nossa Senhora do Ó;14656,49;14533,61;55654,73;20846,71;21979,27;7820,29;119874,02;121602,86
129;Limão;9930,36;10141,56;44469,68;6940,76;5971,93;4919,78;68397,39;67281,13
130;Casa Verde;7558,84;7160,80;36299,91;3466,50;4327,91;2457,69;39376,87;38600,15
131;Santana;19042,88;19686,74;87741,58;11930,90;6501,36;6289,00;83674,34;82967,17
132;Tucuruvi;20349,19;20042,40;83417,88;14497,46;11573,62;9867,57;97680,29;98211,85
133;Tucuruvi;13202,84;12682,84;56429,57;8911,26;15721,02;6333,06;83700,93;83278,55
134;Guarulhos;21763,64;24612,11;106659,44;29685,85;26993,27;14862,66;180565,74;181551,00
135;Guarulhos;2913,16;2882,95;11682,32;8380,84;12023,99;2165,77;68604,69;67626,09
136;Ermelino Matarazzo;10389,43;10545,65;45672,46;6037,15;5818,98;2616,16;51514,15;51012,48
137;Cangaíba;8473,66;8967,80;38602,95;7932,29;3869,85;3597,79;49731,25;48978,74
138;Ermelino Matarazzo;15727,38;15229,86;69593,54;15466,06;8189,58;5214,24;79215,07;78515,05
139;Penha;11227,60;11004,01;47483,61;11512,72;5381,51;5670,16;59517,52;60288,11
140;Penha;15973,29;14982,48;67202,06;14906,21;13369,39;9198,51;101543,30;101386,65
141;Vila Matilde;21573,56;22003,74;102073,77;20081,38;7861,90;9738,88;135936,93;136560,07
142;Vila Matilde;22936,28;22890,13;91464,83;17836,15;13694,90;13754,50;123216,32;123337,40
143;Tatuapé;9571,56;9368,11;41269,37;8043,37;10015,87;5390,72;56035,94;56963,01
144;Vila Matilde;8066,69;7660,05;37721,87;6503,55;2874,30;2025,09;35097,95;36063,52
145;Itaquera;14055,43;13044,91;60228,99;12148,31;7242,94;2798,07;68690,55;66241,38
146;Itaquera;30184,08;29362,08;136027,66;30922,14;11453,73;6204,75;118621,20;117807,46
147;Santo André;17633,32;16883,33;83591,89;18817,25;6232,32;4304,69;112526,12;114399,63
148;Santo André;3815,68;3679,47;14812,41;3039,80;14860,37;2432,21;46045,74;46528,31
149;Santo André;4596,86;4308,01;16314,01;20932,75;37483,70;4583,57;223755,14;221618,70
150;Santo André;10732,58;10360,01;44856,50;14257,72;3854,33;5353,23;76597,36;77522,76
151;São Bernardo do Campo;16637,23;16304,85;63996,51;17405,18;25010,86;12092,40;150738,60;148818,06
152;São Bernardo do Campo;11245,76;10237,50;51825,16;15316,95;34549,10;4302,91;132361,07;135666,11
153;Diadema;16700,39;16159,98;70669,27;6492,42;24410,17;4519,54;126722,94;128811,11
154;Jabaquara;19842,75;18834,08;81597,46;12174,92;21155,51;12895,11;131828,85;132651,07
155;Santo Amaro;12835,65;12097,55;53361,84;22930,03;10940,56;11188,99;108926,27;110831,79
156;Santo Amaro;13288,06;11880,43;49938,82;17045,20;38602,56;14165,15;181492,10;186079,67
157;Santo Amaro;17266,07;16932,94;75046,18;12331,10;16334,58;6681,18;107397,26;104199,22
158;Butantã;17693,50;17196,39;74937,64;16119,20;17027,73;15951,17;134924,09;135401,24
159;Butantã;16835,24;16583,30;70168,24;15167,26;13622,97;9766,47;140883,56;139203,50
160;Butantã;7142,61;6594,48;27942,87;3886,05;15880,10;6679,02;69756,73;70379,91
161;Vila Jaguara;7649,89;7512,59;31103,56;6439,52;10666,52;3507,37;59353,56;59322,71
162;Vila Jaguara;8985,54;10038,62;45570,97;8643,97;6675,36;6226,20;70554,84;69913,86
163;Pirituba;9617,66;10212,81;45126,32;9863,43;9494,96;4506,99;83651,03;84130,47
164;Pirituba;8284,02;8228,48;33505,16;5777,84;5156,05;3743,46;51640,74;51420,07
165;Nossa Senhora do Ó;10273,44;10211,86;45613,03;12170,42;5839,98;6404,02;70007,39;69316,24
166;Brasilândia;27265,60;26742,60;136715,90;27305,93;15290,87;7428,34;173246,93;173266,18
167;Vila Nova Cachoeirinha;8878,36;8700,08;40329,22;13379,36;3609,65;4491,48;60142,06;60674,84
168;Brasilândia;7261,34;7768,14;40188,54;9292,98;1312,36;802,60;40931,35;40375,93
169;Guarulhos;25309,00;25079,00;123112,50;22639,31;16865,72;8066,40;135873,35;137485,23
170;Guarulhos;4465,46;4781,29;24500,68;6815,21;5578,98;763,25;33430,13;33012,13
171;Guarulhos;6946,46;7390,35;39272,53;8330,29;23890,51;1977,49;65735,54;66292,24
172;São Miguel Paulista;15344,02;14368,72;71293,25;17469,97;8570,10;1694,07;66115,14;67427,14
173;São Miguel Paulista;17395,15;16022,22;73184,11;23361,61;13881,48;4279,89;111477,55;110729,33
174;Ermelino Matarazzo;6416,21;6458,11;29944,71;6945,19;3001,83;1708,56;34368,84;33817,90
175;São Miguel Paulista;19736,00;19220,50;90685,68;15937,67;7778,61;5276,85;78313,53;78075,88
176;Itaquera;8886,57;8654,03;38472,04;13021,72;5901,33;3124,16;57399,13;57032,13
177;Ermelino Matarazzo;12560,10;12305,44;52991,08;12876,21;3458,75;4416,20;47653,81;47486,93
178;Itaquera;9049,05;8736,82;40492,11;6663,55;4554,87;2315,64;43004,62;43203,71
