ZONA;Ônibus;Transporte Fretado;Transporte Escolar;Dirigindo Automóvel;Táxi;Metrô;Trem;Moto;Bicicleta;A pé;Outros;Total
434;7995,59;234,24;923,17;9272,01;0,00;550,33;850,50;0,00;0,00;16571,40;0,00;36397,26
435;7876,03;1234,32;3088,71;6146,95;0,00;1598,42;2996,02;669,56;838,14;18728,85;0,00;43176,99
436;37071,47;0,00;1856,51;35367,36;30,60;4490,39;6432,26;1647,28;74,79;8222,76;29,40;95222,82
437;17369,43;112,70;4213,98;17233,46;42,40;1019,77;2037,14;1255,02;0,00;7594,05;0,00;50877,94
438;19327,59;609,61;4226,64;30007,57;195,30;1989,01;1380,62;844,47;347,10;13701,94;74,79;72704,64
439;40530,30;600,87;6036,67;65872,11;0,00;2249,66;5022,86;7983,11;2184,92;48657,74;0,00;179138,23
440;5834,69;191,15;2305,68;4941,46;0,00;76,87;0,00;476,30;0,00;6975,23;95,26;20896,63
441;54036,52;2817,53;11381,95;49860,68;0,00;5153,73;8407,90;4772,80;1151,42;58201,16;95,26;195878,95
442;21142,33;453,06;3627,00;24867,03;0,00;1849,37;2986,63;2348,78;1614,96;43843,52;1369,66;104102,35
443;9378,06;71,63;2099,89;6896,88;0,00;394,85;1379,54;385,30;225,44;4054,89;74,79;24961,25
444;3980,98;0,00;1083,97;14112,01;0,00;2669,07;4286,09;2760,05;161,60;12229,49;0,00;41283,24
445;32840,34;1891,88;23946,80;17629,56;0,00;2832,75;5612,54;375,00;116,12;76630,70;0,00;161875,69
446;32484,13;3211,01;9761,26;36475,37;0,00;2256,16;626,77;1362,29;1346,38;65676,15;0,00;153199,52
447;9827,81;733,83;2014,30;11140,26;0,00;927,88;378,15;399,85;232,24;6659,98;771,73;33086,03
448;5420,35;2742,05;81,88;6546,80;44,86;174,68;861,83;86,40;157,11;9601,50;0,00;25717,47
449;23094,14;1221,08;1248,54;25257,96;0,00;4778,42;5829,91;1227,31;0,00;70643,39;0,00;133300,77
450;418,14;32,30;64,60;3645,51;0,00;0,00;159,19;290,24;41,18;2029,94;0,00;6681,11
451;34051,97;6428,83;3834,39;28440,55;372,15;1176,07;467,29;1487,77;1505,44;22766,24;0,00;100530,70
452;64715,32;3523,09;8700,53;33028,98;0,00;696,56;873,80;6450,96;680,90;37669,11;0,00;156339,23
453;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
454;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00
455;13960,63;445,72;3966,92;6904,42;0,00;0,00;0,00;0,00;1751,67;22223,42;0,00;49252,77
456;14181,76;249,66;7173,96;18614,73;0,00;0,00;0,00;2771,02;3996,03;31757,38;0,00;78744,55
457;0,00;218,58;85,03;1993,34;0,00;0,00;0,00;0,00;0,00;65,98;0,00;2362,94
458;43486,25;7904,93;2833,50;53087,73;0,00;3968,54;29193,19;4264,00;3335,76;99755,04;0,00;247828,94
459;60455,89;4423,61;2147,50;26176,60;13,27;2509,14;1195,20;7777,22;2207,25;86768,76;0,00;193674,46
460;3308,44;400,54;1666,44;3488,20;0,00;77,51;277,11;987,25;100,14;14842,85;0,00;25148,47
